Ad id 196472964,Mercedes-Benz,CLS,For Sale,Benzine,"1,200,000",Cash,2006,160000 to 179999,Automatic,Used,White,Coupe,More than 3000,Not Available,Not Available,/en/companies/first-class-auto-907
Ad id 196503633,Peugeot,508,For Sale,Benzine,"1,150,000",Cash,2022,0 to 9999,Automatic,Used,White,Sedan,1600,Not Available,Not Available,/en/profile/e13be640-3796-4bc4-86ac-e02ac963159f
Ad id 196486134,Kia,Cerato Coupe,For Sale,Benzine,"345,000",Cash,2010,100000 to 119999,Automatic,Used,Blue- Navy Blue,Coupe,1600,Not Available,Not Available,/en/profile/547d4672-ae0a-4050-8a17-78ba84ad34ef
Ad id 195994170,Renault,Megane,For Sale,Benzine,"540,000",Installments,2021,70000 to 79999,Automatic,Used,,Sedan,1400 - 1500,Not Available,Not Available,/en/companies/702
Ad id 195496860,Land Rover,Velar,For Sale,Benzine,"1,500,000",Installments,2020,50000 to 59999,Automatic,Used,White,SUV,1800 - 2000,Not Available,Not Available,/en/companies/New-Star-Auto-8918
Ad id 196511432,MG,ZS,For Sale,Benzine,"625,000",Cash,2022,40000 to 49999,Automatic,Used,Blue- Navy Blue,Hatchback,1400 - 1500,Not Available,Not Available,/en/companies/vip-motor-1030
Ad id 196421495,BMW,520,For Sale,Benzine,"1,750,000",Cash,2019,0 to 9999,Automatic,Used,White,Sedan,1600,Not Available,Not Available,/en/profile/542589b6-8538-4879-8866-bf0a2645397a
Ad id 196411968,Suzuki,SX4,For Sale,Benzine,"395,000",Cash,2016,140000 to 159999,Automatic,Used,Black,Hatchback,1600,Not Available,Not Available,/en/companies/vip-motor-1030
Ad id 196016108,Other make,Other,Wanted Item,Benzine,"707,000",Cash,2019,20000 to 29999,Automatic,Used,Other Color,Sedan,1600,Not Available,Not Available,/en/profile/9c991827-b5ed-416d-8447-2b79f46b99e9
Ad id 196201557,Mazda,6,For Sale,Benzine,"585,000",Cash,2015,90000 to 99999,Automatic,Used,Red,Sedan,1800 - 2000,Not Available,Not Available,/en/companies/Smart-Car-6610
